Organization,entity_and_date,,,grant_amount
Afrofuturism Dance,Metro 2016-17,Metro,2016-17,0
ALIAS Chamber Ensemble,Metro 2016-17,Metro,2016-17,"12,085"
American Artisan Festival,Metro 2016-17,Metro,2016-17,0
American Negro Playwright Theatre,Metro 2016-17,Metro,2016-17,0
American Roots Music Education,Metro 2016-17,Metro,2016-17,0
Andrew Jackson's Hermitage,Metro 2016-17,Metro,2016-17,0
Art and Nature Adventures,Metro 2016-17,Metro,2016-17,0
Arte de Libertad/Freedom Arts,Metro 2016-17,Metro,2016-17,0
Arts and Business Council of Greater Nashville,Metro 2016-17,Metro,2016-17,0
Arts in the Airport,Metro 2016-17,Metro,2016-17,0
ArtSynergy,Metro 2016-17,Metro,2016-17,0
Asian American Performing Arts Society (DBA Dance Theatre of Tennessee),Metro 2016-17,Metro,2016-17,0
Athena Fund,Metro 2016-17,Metro,2016-17,0
AthensSouth Theatre,Metro 2016-17,Metro,2016-17,0
Beautiful Brown Faces,Metro 2016-17,Metro,2016-17,0
Belcourt Theatre,Metro 2016-17,Metro,2016-17,"153,060"
Belle Meade Plantation,Metro 2016-17,Metro,2016-17,0
"Bellevue Edible Learning Lab, Inc.",Metro 2016-17,Metro,2016-17,0
Bellevue Exchange Club,Metro 2016-17,Metro,2016-17,0
Bethlehlem Center,Metro 2016-17,Metro,2016-17,0
Blackbird,Metro 2016-17,Metro,2016-17,0
Blackbird Theatre,Metro 2016-17,Metro,2016-17,0
Blair School of Music,Metro 2016-17,Metro,2016-17,0
Boys & Girls Club of Middle Tennessee (fiscal sponsor for Notes for Notes),Metro 2016-17,Metro,2016-17,"3,750"
Bridging Two Rivers,Metro 2016-17,Metro,2016-17,0
BroadAxe Theatre Inc.,Metro 2016-17,Metro,2016-17,0
C.A.L.L. Project,Metro 2016-17,Metro,2016-17,0
C.O.L.O.R. Project,Metro 2016-17,Metro,2016-17,0
CAAC Dance,Metro 2016-17,Metro,2016-17,0
Center for Refugees & Immigrants in Tennessee,Metro 2016-17,Metro,2016-17,0
Centerstone,Metro 2016-17,Metro,2016-17,0
Cheekwood,Metro 2016-17,Metro,2016-17,"134,555"
Children's Arts & Ideas,Metro 2016-17,Metro,2016-17,0
Chinese Arts Alliance of Nashville,Metro 2016-17,Metro,2016-17,"6,525"
Choral Arts Link,Metro 2016-17,Metro,2016-17,"6,060"
Circle Players,Metro 2016-17,Metro,2016-17,"9,815"
Civil Rap Movement,Metro 2016-17,Metro,2016-17,0
Cleveland Park Community Mural,Metro 2016-17,Metro,2016-17,0
Cleveland Park Neighborhood Story Project,Metro 2016-17,Metro,2016-17,0
Community Concerts Inc.,Metro 2016-17,Metro,2016-17,0
Community Resource Center,Metro 2016-17,Metro,2016-17,0
Concert Chorale,Metro 2016-17,Metro,2016-17,0
Conexion Americas,Metro 2016-17,Metro,2016-17,"4,550"
Country Music Foundation (DBA Country Music Hall of Fame and Museum),Metro 2016-17,Metro,2016-17,"148,625"
Creative Artists of Tennessee (CATS),Metro 2016-17,Metro,2016-17,0
Cultural Arts Enrichment Program,Metro 2016-17,Metro,2016-17,0
Cumberland Garden Communitiy Mural,Metro 2016-17,Metro,2016-17,0
Cumberland View Community Mural,Metro 2016-17,Metro,2016-17,0
Cumberland Science Museum,Metro 2016-17,Metro,2016-17,0
Curating a Public Self,Metro 2016-17,Metro,2016-17,0
Dancing Through the Curriculum,Metro 2016-17,Metro,2016-17,0
Davidson County 4-H,Metro 2016-17,Metro,2016-17,0
Destellos,Metro 2016-17,Metro,2016-17,0
Discover Madison,Metro 2016-17,Metro,2016-17,0
"Dr. George W. Carver's Theatre of Arts, Life, and Longevity",Metro 2016-17,Metro,2016-17,0
Drum and a Dream,Metro 2016-17,Metro,2016-17,0
Drumnastics,Metro 2016-17,Metro,2016-17,0
EarthTone,Metro 2016-17,Metro,2016-17,0
East Nashville Center For Creative Arts,Metro 2016-17,Metro,2016-17,0
East Nashville Hope Exchange,Metro 2016-17,Metro,2016-17,"4,250"
Eco Poetic Way,Metro 2016-17,Metro,2016-17,0
Edgehill Center,Metro 2016-17,Metro,2016-17,0
Edgehill United Methodist Church,Metro 2016-17,Metro,2016-17,0
Educating Our Youth,Metro 2016-17,Metro,2016-17,0
End of Rodney Productions,Metro 2016-17,Metro,2016-17,0
Epiphany,Metro 2016-17,Metro,2016-17,0
Facing Nashville,Metro 2016-17,Metro,2016-17,0
Faith and Culture Center,Metro 2016-17,Metro,2016-17,0
Family & Children's Services,Metro 2016-17,Metro,2016-17,0
L.A.S. Therapy Network,Metro 2016-17,Metro,2016-17,0
FiftyForward,Metro 2016-17,Metro,2016-17,"3,900"
"Fisk University, Department of Music",Metro 2016-17,Metro,2016-17,0
"Fisk University, T.O.P.S.",Metro 2016-17,Metro,2016-17,0
"Fisk University, Van Vechten Gallery",Metro 2016-17,Metro,2016-17,0
Flatrock Heritage Foundation,Metro 2016-17,Metro,2016-17,0
Friends of Centennial Park & Parthenon,Metro 2016-17,Metro,2016-17,0
Friends of Warner Parks,Metro 2016-17,Metro,2016-17,0
Frist Center for the Visual Arts,Metro 2016-17,Metro,2016-17,"152,475"
From Nashville to the World,Metro 2016-17,Metro,2016-17,0
Girl Scout Council,Metro 2016-17,Metro,2016-17,0
Girls Write Nashville,Metro 2016-17,Metro,2016-17,0
Global Education Center,Metro 2016-17,Metro,2016-17,"45,455"
Global Nashville: Building Bridges of Compassion,Metro 2016-17,Metro,2016-17,0
Gordon Jewish Community Center,Metro 2016-17,Metro,2016-17,0
Grand Master Fiddler Championship,Metro 2016-17,Metro,2016-17,"4,340"
Greater Nashville Arts Foundation,Metro 2016-17,Metro,2016-17,0
Green Room Project,Metro 2016-17,Metro,2016-17,0
Hands on with Zig,Metro 2016-17,Metro,2016-17,0
Handweavers Guild,Metro 2016-17,Metro,2016-17,0
Happy Healthy Creative Whole Me,Metro 2016-17,Metro,2016-17,0
Harriet Beecher Stowe: A Literary Soldier,Metro 2016-17,Metro,2016-17,0
Healing Arts Project Inc. (HAPI),Metro 2016-17,Metro,2016-17,"12,285"
Henna Art and Bollywood Junction,Metro 2016-17,Metro,2016-17,0
Hijab Ballet Showcase,Metro 2016-17,Metro,2016-17,0
Historic Germantown,Metro 2016-17,Metro,2016-17,0
Historic Nashville,Metro 2016-17,Metro,2016-17,0
History Alive!,Metro 2016-17,Metro,2016-17,0
Humanities Tennessee (formerly Tennessee Humanities Council),Metro 2016-17,Metro,2016-17,0
Ideaprov,Metro 2016-17,Metro,2016-17,0
Impressions Temporary Mural Project,Metro 2016-17,Metro,2016-17,0
Indian Painting with Sabita,Metro 2016-17,Metro,2016-17,0
Insight Salons,Metro 2016-17,Metro,2016-17,0
International Folk Dancing,Metro 2016-17,Metro,2016-17,0
Intersection,Metro 2016-17,Metro,2016-17,0
JAI 2 HYPE - Just and Idea Arts Academy,Metro 2016-17,Metro,2016-17,0
Jefferson Street Art Crawl,Metro 2016-17,Metro,2016-17,0
Jefferson Street United Merchants Partnership (JUMP),Metro 2016-17,Metro,2016-17,0
John Work Memorial Foundation,Metro 2016-17,Metro,2016-17,0
Kids on the Block,Metro 2016-17,Metro,2016-17,0
Lakewood Theatre Company,Metro 2016-17,Metro,2016-17,0
Leonard Bernstein Center,Metro 2016-17,Metro,2016-17,0
Lionheart Wellness Class and Dance-a-thon,Metro 2016-17,Metro,2016-17,0
Lipscomb University,Metro 2016-17,Metro,2016-17,0
Live Music in America,Metro 2016-17,Metro,2016-17,0
Living Photo: Celebrating 100 Years of Old Hickory,Metro 2016-17,Metro,2016-17,0
Local's Cut: Edgehill Village,Metro 2016-17,Metro,2016-17,0
Lost Boys Foundation,Metro 2016-17,Metro,2016-17,0
Luthern Services in Tennessee,Metro 2016-17,Metro,2016-17,0
Madison Bluegrass Festival,Metro 2016-17,Metro,2016-17,0
Mapping McGruder,Metro 2016-17,Metro,2016-17,0
Martha O'Bryan Center,Metro 2016-17,Metro,2016-17,0
Metro Education Access Corporation (MEAC),Metro 2016-17,Metro,2016-17,0
Metro Nashville Chorus,Metro 2016-17,Metro,2016-17,"6,065"
"Middle Tennessee Mental Health & Substance Abuse Coalition (program became indepent nonprofit Healing Arts Project, Inc.)",Metro 2016-17,Metro,2016-17,0
Mockingbird Public Theatre,Metro 2016-17,Metro,2016-17,0
Monroe Harding,Metro 2016-17,Metro,2016-17,0
Moves & Grooves,Metro 2016-17,Metro,2016-17,"12,000"
Music City Blues Society,Metro 2016-17,Metro,2016-17,0
Music City Chorus,Metro 2016-17,Metro,2016-17,0
Music City Youth Orchestra,Metro 2016-17,Metro,2016-17,0
Music for L.I.F.E.,Metro 2016-17,Metro,2016-17,0
Music For Seniors,Metro 2016-17,Metro,2016-17,"15,580"
Music Programming for the Homeless,Metro 2016-17,Metro,2016-17,0
Musical History of Joe Hill and the Early Labor Movement Davidson County Tour,Metro 2016-17,Metro,2016-17,0
My Favorite Song!,Metro 2016-17,Metro,2016-17,0
N-4ART,Metro 2016-17,Metro,2016-17,0
Napier-Sudekum Community Identity,Metro 2016-17,Metro,2016-17,0
Narrow Way Productions (NWP),Metro 2016-17,Metro,2016-17,0
Nashville 5-Shot Shorts,Metro 2016-17,Metro,2016-17,0
Nashville Artists Guild,Metro 2016-17,Metro,2016-17,0
Nashville Ballet,Metro 2016-17,Metro,2016-17,"147,020"
Nashville Children's Theatre,Metro 2016-17,Metro,2016-17,"107,270"
Nashville Community Concerts,Metro 2016-17,Metro,2016-17,0
Nashville Cultural Arts Project,Metro 2016-17,Metro,2016-17,"13,070"
Sister Cities of Nashville,Metro 2016-17,Metro,2016-17,0
Nashville Film Festival (formerly Sinking Creek Festival),Metro 2016-17,Metro,2016-17,"73,920"
Nashville Gospel Ministry,Metro 2016-17,Metro,2016-17,0
Nashville in Harmony,Metro 2016-17,Metro,2016-17,0
Nashville Institute for the Arts,Metro 2016-17,Metro,2016-17,0
Nashville Jazz Orchestra,Metro 2016-17,Metro,2016-17,"5,435"
Nashville Jazz Workshop,Metro 2016-17,Metro,2016-17,"64,725"
Nashville Makes Zines,Metro 2016-17,Metro,2016-17,0
Nashville Opera Association,Metro 2016-17,Metro,2016-17,"115,700"
Nashville Philharmonic Orchestra,Metro 2016-17,Metro,2016-17,0
Nashville Please Don't Litter,Metro 2016-17,Metro,2016-17,0
Nashville Public Library Foundation,Metro 2016-17,Metro,2016-17,0
Nashville Public Radio,Metro 2016-17,Metro,2016-17,0
Nashville Public Television,Metro 2016-17,Metro,2016-17,"4,750"
Nashville Repertory Theatre (formerly Tennessee Repertory Theatre),Metro 2016-17,Metro,2016-17,"94,905"
Nashville Screenwriter's Conference,Metro 2016-17,Metro,2016-17,0
Nashville Shakespeare Festival,Metro 2016-17,Metro,2016-17,"74,965"
Nashville Singers,Metro 2016-17,Metro,2016-17,0
Nashville Swing Dance Foundation,Metro 2016-17,Metro,2016-17,0
Nashville Symphony,Metro 2016-17,Metro,2016-17,"142,405"
Nashville Talking Chairs,Metro 2016-17,Metro,2016-17,0
Nashville Theatre Works,Metro 2016-17,Metro,2016-17,0
NashvilleREAD,Metro 2016-17,Metro,2016-17,0
National Museum of African American Music,Metro 2016-17,Metro,2016-17,0
Native American Indian Association of Tennessee,Metro 2016-17,Metro,2016-17,0
New Dialect,Metro 2016-17,Metro,2016-17,0
New Vision,Metro 2016-17,Metro,2016-17,0
"Next Door, Inc",Metro 2016-17,Metro,2016-17,0
Norf Art Collective,Metro 2016-17,Metro,2016-17,0
Oasis Center,Metro 2016-17,Metro,2016-17,"4,250"
Old Hickory Village Centennial Celebration Time Capsule,Metro 2016-17,Metro,2016-17,0
Old Time Music & Dance,Metro 2016-17,Metro,2016-17,0
Orchestra Nashville/Nashville Chamber Orchestra,Metro 2016-17,Metro,2016-17,0
Outside the Box,Metro 2016-17,Metro,2016-17,0
OZ Arts Nashville,Metro 2016-17,Metro,2016-17,"10,225"
PENCIL Foundation,Metro 2016-17,Metro,2016-17,"2,845"
Peoples Branch Theatre,Metro 2016-17,Metro,2016-17,0
Pikesproject (#Pikesproject),Metro 2016-17,Metro,2016-17,0
Planned Parenthood of Middle Tennessee,Metro 2016-17,Metro,2016-17,0
Plowhaus,Metro 2016-17,Metro,2016-17,0
Porch Writers' Collective,Metro 2016-17,Metro,2016-17,0
Poverty and the Arts,Metro 2016-17,Metro,2016-17,0
Pro Musica,Metro 2016-17,Metro,2016-17,0
Project 24,Metro 2016-17,Metro,2016-17,0
Project Return,Metro 2016-17,Metro,2016-17,0
Queens Among Us,Metro 2016-17,Metro,2016-17,0
Race Relations Institute,Metro 2016-17,Metro,2016-17,0
Rediscover East!,Metro 2016-17,Metro,2016-17,0
Rejoice School of Ballet,Metro 2016-17,Metro,2016-17,0
Ridley Temple Foundation,Metro 2016-17,Metro,2016-17,0
Rocketown of Middle Tennessee,Metro 2016-17,Metro,2016-17,0
Room in the Inn,Metro 2016-17,Metro,2016-17,0
Ruby Green Foundation,Metro 2016-17,Metro,2016-17,0
Salama Urban Ministries,Metro 2016-17,Metro,2016-17,0
Salvation Army of Nashville,Metro 2016-17,Metro,2016-17,0
Sankofa African Drum and Dance Company,Metro 2016-17,Metro,2016-17,0
Saturday in the Arts Day Camp,Metro 2016-17,Metro,2016-17,0
Scarritt-Bennett Center,Metro 2016-17,Metro,2016-17,0
Senior Center for the Arts,Metro 2016-17,Metro,2016-17,"30,680"
Sexual Assault Center,Metro 2016-17,Metro,2016-17,0
Shelby Bottom String Band,Metro 2016-17,Metro,2016-17,0
Social Movement Gallery,Metro 2016-17,Metro,2016-17,0
Southern Word (formerly Youth Speaks Nashville),Metro 2016-17,Metro,2016-17,"53,450"
St. Luke's Community House,Metro 2016-17,Metro,2016-17,0
StageWorks,Metro 2016-17,Metro,2016-17,0
Storytelling Project,Metro 2016-17,Metro,2016-17,
Street Style Project,Metro 2016-17,Metro,2016-17,
Street Theatre Company,Metro 2016-17,Metro,2016-17,"21,070"
Sudan Acholi Community of Tennessee,Metro 2016-17,Metro,2016-17,0
Tango Nashville,Metro 2016-17,Metro,2016-17,0
Tennessee Association for the Preservation & Perpetuation of Storytelling (TAPPS),Metro 2016-17,Metro,2016-17,0
Temple Academy of Music,Metro 2016-17,Metro,2016-17,0
Tennessee Art League,Metro 2016-17,Metro,2016-17,0
Tennessee Artists' Guild,Metro 2016-17,Metro,2016-17,0
Tennessee Association of Craft Artists (DBA Tennessee Craft),Metro 2016-17,Metro,2016-17,"61,775"
Tennessee Chamber Chorale,Metro 2016-17,Metro,2016-17,0
Tennessee Committee for Prevention of Child Abuse,Metro 2016-17,Metro,2016-17,0
Tennessee Committee of National Musuem of Women in the Arts,Metro 2016-17,Metro,2016-17,0
Tennessee Dance Theatre,Metro 2016-17,Metro,2016-17,0
Tennessee Fox Trot Carousel,Metro 2016-17,Metro,2016-17,0
Tennessee Grassroots Festival,Metro 2016-17,Metro,2016-17,0
Tennessee Jazz & Blues Society,Metro 2016-17,Metro,2016-17,0
Tennessee Opera,Metro 2016-17,Metro,2016-17,0
Tennessee Performing Arts Center,Metro 2016-17,Metro,2016-17,"150,685"
"Tennessee Performing Arts Center, Rock Wedding",Metro 2016-17,Metro,2016-17,0
Tennessee Repertory Theatre,Metro 2016-17,Metro,2016-17,0
Tennessee Screenwriting Association,Metro 2016-17,Metro,2016-17,0
Tennessee State Museum,Metro 2016-17,Metro,2016-17,0
Tennessee Theatre Company,Metro 2016-17,Metro,2016-17,0
Tennessee Women's Theatre Project,Metro 2016-17,Metro,2016-17,"11,475"
Theater Bug,Metro 2016-17,Metro,2016-17,0
Therapeutic and Creative Arts,Metro 2016-17,Metro,2016-17,0
Travellers' Rest,Metro 2016-17,Metro,2016-17,0
Turnip Green Creative Reuse,Metro 2016-17,Metro,2016-17,0
Uhuru Dance Company,Metro 2016-17,Metro,2016-17,0
UnLocked,Metro 2016-17,Metro,2016-17,0
Untitled,Metro 2016-17,Metro,2016-17,0
Unveiling the Voice Within,Metro 2016-17,Metro,2016-17,0
"Vanderbilt University, Kennedy Center",Metro 2016-17,Metro,2016-17,0
"Vanderbilt University, Sarratt Student Center",Metro 2016-17,Metro,2016-17,0
Village Cultural Arts Center,Metro 2016-17,Metro,2016-17,0
Village Records,Metro 2016-17,Metro,2016-17,0
Visual Arts Alliance of Nashville (VAAN),Metro 2016-17,Metro,2016-17,0
Voices on the Edge: Keeping and Including all of Edgehill,Metro 2016-17,Metro,2016-17,0
Voices Unwavering,Metro 2016-17,Metro,2016-17,0
Volunteers/Imprv. 20th Dist.,Metro 2016-17,Metro,2016-17,0
VSA Arts Tennessee,Metro 2016-17,Metro,2016-17,0
W.O. Smith Nashville Community Music School,Metro 2016-17,Metro,2016-17,"71,145"
Wade,Metro 2016-17,Metro,2016-17,0
Walking Within Your Creative Right,Metro 2016-17,Metro,2016-17,0
"Watkins College of Art, Design & Film (formerly Watkins Institute)",Metro 2016-17,Metro,2016-17,"134,555"
West End Middle School PTSO,Metro 2016-17,Metro,2016-17,0
Who am I: Exploring the Self through Painting and Writing,Metro 2016-17,Metro,2016-17,0
Women/Music/Entertainment,Metro 2016-17,Metro,2016-17,0
Women's Veterans Expressive Arts Workshop and Symposium,Metro 2016-17,Metro,2016-17,0
Woodbine Community Organization,Metro 2016-17,Metro,2016-17,0
Word Box Project,Metro 2016-17,Metro,2016-17,0
Wordsmith,Metro 2016-17,Metro,2016-17,0
Working it Out,Metro 2016-17,Metro,2016-17,0
Writing as Resistance,Metro 2016-17,Metro,2016-17,0
Writers Stage,Metro 2016-17,Metro,2016-17,0
Young People's Freedom Choir,Metro 2016-17,Metro,2016-17,0
Youth Empowerment through the Arts & Humanities (YEAH!),Metro 2016-17,Metro,2016-17,"15,530"
Youth Voices Breakout,Metro 2016-17,Metro,2016-17,0
"YMCA of Middle Tennessee, artEmbrace",Metro 2016-17,Metro,2016-17,0
Youth Life Foundation,Metro 2016-17,Metro,2016-17,0
YWCA,Metro 2016-17,Metro,2016-17,0
Zen Quilting Guild,Metro 2016-17,Metro,2016-17,0
abrasiveMedia,THRIVE 2016-17,Metro,2016-17,0
ACT I Theatre,THRIVE 2016-17,Metro,2016-17,0
Acting Studio,THRIVE 2016-17,Metro,2016-17,0
Actor's Bridge Ensemble Theatre of Nashville,THRIVE 2016-17,Metro,2016-17,0
Actor's Playhouse,THRIVE 2016-17,Metro,2016-17,0
Adventure Science Center,THRIVE 2016-17,Metro,2016-17,0
Africa is…,THRIVE 2016-17,Metro,2016-17,0
African American Cultural Alliance,THRIVE 2016-17,Metro,2016-17,0
Afrofuturism Dance,THRIVE 2016-17,Metro,2016-17,0
ALIAS Chamber Ensemble,THRIVE 2016-17,Metro,2016-17,0
American Artisan Festival,THRIVE 2016-17,Metro,2016-17,"2,350"
American Negro Playwright Theatre,THRIVE 2016-17,Metro,2016-17,0
American Roots Music Education,THRIVE 2016-17,Metro,2016-17,0
Andrew Jackson's Hermitage,THRIVE 2016-17,Metro,2016-17,0
Art and Nature Adventures,THRIVE 2016-17,Metro,2016-17,"2,700"
Arte de Libertad/Freedom Arts,THRIVE 2016-17,Metro,2016-17,0
Arts and Business Council of Greater Nashville,THRIVE 2016-17,Metro,2016-17,0
Arts in the Airport,THRIVE 2016-17,Metro,2016-17,0
ArtSynergy,THRIVE 2016-17,Metro,2016-17,0
Asian American Performing Arts Society (DBA Dance Theatre of Tennessee),THRIVE 2016-17,Metro,2016-17,0
Athena Fund,THRIVE 2016-17,Metro,2016-17,0
AthensSouth Theatre,THRIVE 2016-17,Metro,2016-17,0
Beautiful Brown Faces,THRIVE 2016-17,Metro,2016-17,"4,000"
Belcourt Theatre,THRIVE 2016-17,Metro,2016-17,0
Belle Meade Plantation,THRIVE 2016-17,Metro,2016-17,0
"Bellevue Edible Learning Lab, Inc.",THRIVE 2016-17,Metro,2016-17,0
Bellevue Exchange Club,THRIVE 2016-17,Metro,2016-17,0
Bethlehlem Center,THRIVE 2016-17,Metro,2016-17,0
Blackbird,THRIVE 2016-17,Metro,2016-17,0
Blackbird Theatre,THRIVE 2016-17,Metro,2016-17,0
Blair School of Music,THRIVE 2016-17,Metro,2016-17,0
Boys & Girls Club of Middle Tennessee (fiscal sponsor for Notes for Notes),THRIVE 2016-17,Metro,2016-17,0
Bridging Two Rivers,THRIVE 2016-17,Metro,2016-17,0
BroadAxe Theatre Inc.,THRIVE 2016-17,Metro,2016-17,0
C.A.L.L. Project,THRIVE 2016-17,Metro,2016-17,0
C.O.L.O.R. Project,THRIVE 2016-17,Metro,2016-17,"4,000"
CAAC Dance,THRIVE 2016-17,Metro,2016-17,0
Center for Refugees & Immigrants in Tennessee,THRIVE 2016-17,Metro,2016-17,0
Centerstone,THRIVE 2016-17,Metro,2016-17,0
Cheekwood,THRIVE 2016-17,Metro,2016-17,0
Children's Arts & Ideas,THRIVE 2016-17,Metro,2016-17,0
Chinese Arts Alliance of Nashville,THRIVE 2016-17,Metro,2016-17,0
Choral Arts Link,THRIVE 2016-17,Metro,2016-17,0
Circle Players,THRIVE 2016-17,Metro,2016-17,0
Civil Rap Movement,THRIVE 2016-17,Metro,2016-17,0
Cleveland Park Community Mural,THRIVE 2016-17,Metro,2016-17,0
Cleveland Park Neighborhood Story Project,THRIVE 2016-17,Metro,2016-17,0
Community Concerts Inc.,THRIVE 2016-17,Metro,2016-17,0
Community Resource Center,THRIVE 2016-17,Metro,2016-17,0
Concert Chorale,THRIVE 2016-17,Metro,2016-17,0
Conexion Americas,THRIVE 2016-17,Metro,2016-17,0
Country Music Foundation (DBA Country Music Hall of Fame and Museum),THRIVE 2016-17,Metro,2016-17,0
Creative Artists of Tennessee (CATS),THRIVE 2016-17,Metro,2016-17,0
Cultural Arts Enrichment Program,THRIVE 2016-17,Metro,2016-17,0
Cumberland Garden Communitiy Mural,THRIVE 2016-17,Metro,2016-17,0
Cumberland View Community Mural,THRIVE 2016-17,Metro,2016-17,0
Cumberland Science Museum,THRIVE 2016-17,Metro,2016-17,0
Curating a Public Self,THRIVE 2016-17,Metro,2016-17,0
Dancing Through the Curriculum,THRIVE 2016-17,Metro,2016-17,0
Davidson County 4-H,THRIVE 2016-17,Metro,2016-17,0
Destellos,THRIVE 2016-17,Metro,2016-17,0
Discover Madison,THRIVE 2016-17,Metro,2016-17,0
"Dr. George W. Carver's Theatre of Arts, Life, and Longevity",THRIVE 2016-17,Metro,2016-17,0
Drum and a Dream,THRIVE 2016-17,Metro,2016-17,0
Drumnastics,THRIVE 2016-17,Metro,2016-17,0
EarthTone,THRIVE 2016-17,Metro,2016-17,0
East Nashville Center For Creative Arts,THRIVE 2016-17,Metro,2016-17,0
East Nashville Hope Exchange,THRIVE 2016-17,Metro,2016-17,0
Eco Poetic Way,THRIVE 2016-17,Metro,2016-17,0
Edgehill Center,THRIVE 2016-17,Metro,2016-17,0
Edgehill United Methodist Church,THRIVE 2016-17,Metro,2016-17,0
Educating Our Youth,THRIVE 2016-17,Metro,2016-17,0
End of Rodney Productions,THRIVE 2016-17,Metro,2016-17,0
Epiphany,THRIVE 2016-17,Metro,2016-17,0
Facing Nashville,THRIVE 2016-17,Metro,2016-17,0
Faith and Culture Center,THRIVE 2016-17,Metro,2016-17,"3,825"
Family & Children's Services,THRIVE 2016-17,Metro,2016-17,0
L.A.S. Therapy Network,THRIVE 2016-17,Metro,2016-17,0
FiftyForward,THRIVE 2016-17,Metro,2016-17,0
"Fisk University, Department of Music",THRIVE 2016-17,Metro,2016-17,0
"Fisk University, T.O.P.S.",THRIVE 2016-17,Metro,2016-17,0
"Fisk University, Van Vechten Gallery",THRIVE 2016-17,Metro,2016-17,0
Flatrock Heritage Foundation,THRIVE 2016-17,Metro,2016-17,0
Friends of Centennial Park & Parthenon,THRIVE 2016-17,Metro,2016-17,0
Friends of Warner Parks,THRIVE 2016-17,Metro,2016-17,0
Frist Center for the Visual Arts,THRIVE 2016-17,Metro,2016-17,0
From Nashville to the World,THRIVE 2016-17,Metro,2016-17,0
Girl Scout Council,THRIVE 2016-17,Metro,2016-17,0
