Organization,entity_and_date,,,grant_amount
Poverty and the Arts,Metro Arts & ABC 1988-89,Metro,1988-89,0
Pro Musica,Metro Arts & ABC 1988-89,Metro,1988-89,"5,900"
Project 24,Metro Arts & ABC 1988-89,Metro,1988-89,0
Project Return,Metro Arts & ABC 1988-89,Metro,1988-89,0
Queens Among Us,Metro Arts & ABC 1988-89,Metro,1988-89,0
Race Relations Institute,Metro Arts & ABC 1988-89,Metro,1988-89,0
Rediscover East!,Metro Arts & ABC 1988-89,Metro,1988-89,0
Rejoice School of Ballet,Metro Arts & ABC 1988-89,Metro,1988-89,0
Ridley Temple Foundation,Metro Arts & ABC 1988-89,Metro,1988-89,0
Rocketown of Middle Tennessee,Metro Arts & ABC 1988-89,Metro,1988-89,0
Room in the Inn,Metro Arts & ABC 1988-89,Metro,1988-89,0
Ruby Green Foundation,Metro Arts & ABC 1988-89,Metro,1988-89,0
Salama Urban Ministries,Metro Arts & ABC 1988-89,Metro,1988-89,0
Salvation Army of Nashville,Metro Arts & ABC 1988-89,Metro,1988-89,0
Sankofa African Drum and Dance Company,Metro Arts & ABC 1988-89,Metro,1988-89,0
Saturday in the Arts Day Camp,Metro Arts & ABC 1988-89,Metro,1988-89,0
Scarritt-Bennett Center,Metro Arts & ABC 1988-89,Metro,1988-89,0
Senior Center for the Arts,Metro Arts & ABC 1988-89,Metro,1988-89,0
Sexual Assault Center,Metro Arts & ABC 1988-89,Metro,1988-89,0
Shelby Bottom String Band,Metro Arts & ABC 1988-89,Metro,1988-89,0
Social Movement Gallery,Metro Arts & ABC 1988-89,Metro,1988-89,0
Southern Word (formerly Youth Speaks Nashville),Metro Arts & ABC 1988-89,Metro,1988-89,0
St. Luke's Community House,Metro Arts & ABC 1988-89,Metro,1988-89,0
StageWorks,Metro Arts & ABC 1988-89,Metro,1988-89,0
Storytelling Project,Metro Arts & ABC 1988-89,Metro,1988-89,0
Street Style Project,Metro Arts & ABC 1988-89,Metro,1988-89,0
Street Theatre Company,Metro Arts & ABC 1988-89,Metro,1988-89,0
Sudan Acholi Community of Tennessee,Metro Arts & ABC 1988-89,Metro,1988-89,0
Tango Nashville,Metro Arts & ABC 1988-89,Metro,1988-89,0
Tennessee Association for the Preservation & Perpetuation of Storytelling (TAPPS),Metro Arts & ABC 1988-89,Metro,1988-89,0
